"","Protein biosynthesis","Ton and tol transport","Resistance to toxic compounds","DNA repair","RNA processing and modification","Central carbohydrate metabolism","Lysine, threonine, methionine, and cysteine","Resistance to antibiotics","Monosaccharides","Gram-Negative cell wall components","Branched-chain amino acids","Oxidative stress","Flagellar motility in Prokaryota","Protein degradation","Fatty acids","Folate and pterines","DNA replication","Purines","Di- and oligosaccharides","Electron accepting reactions","Arginine; urea cycle, polyamines","Regulation and Cell signaling","Phosphate metabolism","Capsular and extracellular polysacchrides","Electron donating reactions","Transcription","Aromatic amino acids and derivatives","TCA Cycle","One-carbon Metabolism","Thiamin biosynthesis","Peptidoglycan Biosynthesis","Pyrimidines","Glutamine, glutamate, aspartate, asparagine; ammonia assimilation","Quinone cofactors","Biotin","Respiration-Biogenesis","Potassium homeostasis","Osmotic stress","Heat shock","Fermentation","Protein folding","Bacterial Chemotaxis","Alanine, serine, and glycine","Organic acids","ABC transporters","Phospholipids","Histidine Metabolism","Ammonia assimilation","Glutathione-regulated potassium-efflux system ","stress- hemoglobins","Polysaccharides","cell wall general","Riboflavin, FMN, FAD","Sugar alcohols","Protein and nucleoprotein secretion system, Type IV","Protein processing and modification","Proline and 4-hydroxyproline","Lipoic acid","Restriction-Modification System","Isoprenoids","NAD and NADP","Detoxification","ATP synthases","Protein secretion system, Type II","Virulence","Coenzyme A","Metabolism of central aromatic intermediates","Nitrate and nitrite ammonification","Type III, Type IV, Type VI, ESAT secretion systems","Stress general ","Social motility and nonflagellar swimming in bacteria","Transposable elements","Metabolite repair","Pyridoxine","Peripheral pathways for catabolism of aromatic compounds","Ribonucleotide reduction","Uni- Sym- and Antiporters","Bacterial Cytoskeleton","Organic sulfur assimilation","Tetrapyrroles","Iron acquition","CO2 fixation","Formate hydrogenase","Polyhydroxybutyrate metabolism","Orphan regulatory proteins","Inorganic sulfur assimilation","Programmed Cell Death and Toxin-antitoxin Systems","Two cell division clusters relating to chromosome partitioning","Liagases","sulfur general","Aminosugars","Murein Hydrolases","Protein secretion system, Type VI","Macromolecular synthesis operon","Respiration general","Siderophores","DMSP associated","Stress- Flavohaemoglobin","Transport of metals","Hemin trasport","Phosphate transporter, PHO regulon","Fe-S clusters","Thioredoxin-disulfide reductase","Liagases carbon-carbon bonds ","Periplasmic Stress","Iron transport","Selenoproteins","Lyases","Transcriptional regulation","General Carbohydrate","Nucleosides general","Bacteriocins, ribosomally synthesized antibacterial peptides","DNA uptake, competence","stress - carbon starvation","RNA metabolism","DNA-binding regulatory proteins, strays","Phages, Prophages","Aromatic general ","Denitrification","DNA general","Molybdopterin","Tricarboxylate transport system","Triacylglycerols","Broadly distributed proteins not in subsystems","Gram-Positive cell wall components","DNA recombination"
"Protein biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ton and tol transport",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Resistance to toxic compounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"DNA repair",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA processing and modification",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Central carbohydrate metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lysine, threonine, methionine, and cysteine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Resistance to antibiotics",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monosaccharides",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gram-Negative cell wall components",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
