"","Protein biosynthesis","Central carbohydrate metabolism","DNA repair","RNA processing and modification","Lysine, threonine, methionine, and cysteine","Ton and Tol transport systems","Purines","Branched-chain amino acids","Protein degradation","Folate and pterines","Resistance to antibiotics","Fatty acids","Resistance to toxic compounds","DNA replication","Gram-Negative cell wall components","Electron donating reactions","Arginine; urea cycle, polyamines","Transcription","Oxidative stress","Capsular and extracellular polysacchrides","Regulation and Cell signaling","Phosphate metabolism","Aromatic amino acids and derivatives","Di- and oligosaccharides","Flagellar motility in Prokaryota","Monosaccharides","Electron accepting reactions","TCA Cycle","Pyrimidines","Heat shock","Thiamin biosynthesis","Peptidoglycan Biosynthesis","Protein folding","Glutamine, glutamate, aspartate, asparagine; ammonia assimilation","Quinone cofactors","One-carbon Metabolism","ABC transporters","Osmotic stress","Alanine, serine, and glycine","Tetrapyrroles","Isoprenoids","Ammonia assimilation","Histidine Metabolism","stress- hemoglobins","Cell division general","Respiration-Biogenesis","ATP synthases","CO2 fixation","Biotin","Potassium homeostasis","Organic acids","Phospholipids","Virulence","Fermentation","Lipoic acid","Sugar alcohols","Protein processing and modification","Riboflavin, FMN, FAD","Coenzyme A","Protein and nucleoprotein secretion system, Type IV","Ribonucleotide reduction","Bacterial Chemotaxis","Phages, Prophages","Organic sulfur assimilation","Glutathione-regulated potassium-efflux system and associated functions","NAD and NADP","Proline and 4-hydroxyproline","Pyridoxine","Detoxification","Protein secretion system, Type II","Two cell division clusters relating to chromosome partitioning","Nitrate and nitrite ammonification","Restriction-Modification System","Bacterial Cytoskeleton","Stress general ","Metabolism of central aromatic intermediates","Macromolecular synthesis operon","Social motility and nonflagellar swimming in bacteria","Electron transport and photophosphorylation","Polysaccharides","Transcriptional regulation","Liagases","Metabolite repair","Iron acquisition","Phosphate transporter and PHO regulon","Iron transport","Orphan regulatory proteins","Uni- Sym- and Antiporters","Protein secretion system, Type VI","Fe-S clusters","Creatine and Creatinine Degradation","Ligases","Respiration general","Peripheral pathways for catabolism of aromatic compounds","Inorganic sulfur assimilation","Formate hydrogenase","DMSP associated","Phage family-specific subsystems","Polyhydroxybutyrate metabolism","Selenoproteins","Type III, Type IV, Type VI, ESAT secretion systems","Murein Hydrolases","Periplasmic Stress","Transport of metals","Thioredoxin-disulfide reductase","DNA uptake, competence","Lyases","Stress- Flavohaemoglobin","Aminosugars","Bacteriocins, ribosomally synthesized antibacterial peptides","sulfur general","Nucleosides general"
"Protein biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Central carbohydrate metabolism",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNA repair",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RNA processing and modification",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Lysine, threonine, methionine, and cysteine",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ton and Tol transport systems",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Purines",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Branched-chain amino acids",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Protein degradation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Folate and pterines",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
