"","f:Alteromonadaceae","f:Flavobacteriaceae","f:Halomonadaceae","f:Pseudomonadaceae","f:Pseudoalteromonadaceae","f:Sphingomonadaceae","f:Erythrobacteraceae","f:Idiomarinaceae","f:Vibrionaceae","f:Rhodobacteraceae","f:Moraxellaceae","f:Alcanivoracaceae","f:Burkholderiaceae","f:Enterobacteriaceae","f:Oceanospirillaceae","f:Cyclobacteriaceae","f:Pelagibacteraceae","f:Shewanellaceae","f:Bacillaceae","f:Cytophagaceae","f:Bacteroidaceae","f:Comamonadaceae","f:Caulobacteraceae","f:Rhodospirillaceae","f:Rhizobiaceae","f:Ectothiorhodospiraceae","f:Cellvibrionaceae","f:Xanthomonadaceae","f:Methylobacteriaceae","f:Bradyrhizobiaceae","f:Flammeovirgaceae","f:Synechococcaceae","f:Chromatiaceae","f:Mycobacteriaceae","f:Hyphomonadaceae","f:Aeromonadaceae","f:Oxalobacteraceae","f:Piscirickettsiaceae","f:Colwelliaceae","f:Methylococcaceae","f:Halieaceae","f:Chitinophagaceae","f:Hahellaceae","f:Phyllobacteriaceae","f:Yersiniaceae","f:Microbacteriaceae","f:Halobacteriovoraceae","f:Clostridiaceae","f:Sphingobacteriaceae","f:Prochloraceae","f:Pasteurellaceae","f:Lewinellaceae","f:Geobacteraceae","f:Streptomycetaceae","f:Paenibacillaceae","f:Methylophilaceae","f:Alcaligenaceae","f:Morganellaceae","f:Pirellulaceae","f:Pectobacteriaceae","f:Acetobacteraceae","f:Aurantimonadaceae","f:Bdellovibrionaceae","f:Unknown","f:Prevotellaceae","f:Zoogloeaceae","f:Saccharospirillaceae","f:Chromobacteriaceae","f:Planctomycetaceae","f:Spongiibacteraceae","f:Oscillatoriaceae","f:Streptococcaceae","f:Desulfovibrionaceae","f:Tannerellaceae","f:Dysgonamonadaceae","f:Psychromonadaceae","f:Kangiellaceae","f:Un_SAR","f:Brucellaceae","f:Erwiniaceae","f:Desulfuromonadaceae","f:Hyphomicrobiaceae","f:Neisseriaceae","f:Rhodothermaceae","f:Un_Eubacterium","f:Un_Alphaproteobacteria","f:Pseudonocardiaceae","f:Xanthobacteraceae","f:Microbulbiferaceae","f:Solibacteraceae","f:Rhodobiaceae","f:Lachnospiraceae","f:Hymenobacteraceae","f:Chlorobiaceae","f:Nitrosomonadaceae","f:Microcoleaceae","f:Archangiaceae","f:Rhodocyclaceae","f:Nocardiaceae","f:Kordiimonadaceae","f:Nostocaceae"
"f:Alteromonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"f:Flavobacteriaceae",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f:Halomonadaceae",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f:Pseudomonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f:Pseudoalteromonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f:Sphingomonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f:Erythrobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f:Idiomarinaceae",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f:Vibrionaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f:Rhodobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
