"","f:Pelagibacteraceae","f:Pseudoalteromonadaceae","f:Alteromonadaceae","f:Flavobacteriaceae","f:Pseudomonadaceae","f:Prochloraceae","f:Synechococcaceae","f:Rhodobacteraceae","f:Sphingomonadaceae","f:Chromatiaceae","f:Halomonadaceae","f:Vibrionaceae","f:Burkholderiaceae","f:Un_Marinimicrobia ","f:Bradyrhizobiaceae","f:Rhodospirillaceae","f:Shewanellaceae","f:Comamonadaceae","f:Moraxellaceae","f:Caulobacteraceae","f:Nitrosopumilaceae","f:Un_Alphaproteobacteria","f:Cyclobacteriaceae","f:Un_SAR","f:Erythrobacteraceae","f:Enterobacteriaceae","f:Hyphomonadaceae","f:Rhizobiaceae","f:Bacillaceae","f:Alcanivoracaceae","f:Cytophagaceae","f:Oceanospirillaceae","f:Pirellulaceae","f:Ectothiorhodospiraceae","f:Cellvibrionaceae","f:Halieaceae","f:Clostridiaceae","f:Flammeovirgaceae","f:Phyllobacteriaceae","f:Colwelliaceae","f:Xanthomonadaceae","f:Mycobacteriaceae","f:Piscirickettsiaceae","f:Methylococcaceae","f:Acetobacteraceae","f:Sphingobacteriaceae","f:Oxalobacteraceae","f:Aeromonadaceae","f:Streptomycetaceae","f:Paenibacillaceae","f:Bacteroidaceae","f:Chitinophagaceae","f:Ilumatobacteraceae","f:Hahellaceae","f:Methylobacteriaceae","f:Methylophilaceae","f:Rhodobiaceae","f:Idiomarinaceae","f:Unknown","f:Pasteurellaceae","f:Aurantimonadaceae","f:Alcaligenaceae","f:Geobacteraceae","f:Hyphomicrobiaceae","f:Lachnospiraceae","f:Planctomycetaceae","f:Chlorobiaceae","f:Yersiniaceae","f:Peptococcaceae","f:Pseudonocardiaceae","f:Kiloniellaceae","f:Lewinellaceae","f:Desulfovibrionaceae","f:Leptospiraceae","f:Campylobacteraceae","f:Morganellaceae","f:Brucellaceae","f:Xanthobacteraceae","f:Nostocaceae","f:Thermoanaerobacteraceae","f:Un_Verrucomicrobia","f:Desulfobacteraceae","f:Aphanothecaceae","f:Nocardiaceae","f:Erwiniaceae","f:Legionellaceae","f:Microcoleaceae","f:Desulfuromonadaceae","f:Spongiibacteraceae","f:Rhodothermaceae","f:Psychromonadaceae","f:Verrucomicrobia subdivision 3","f:Rickettsiaceae","f:Anaplasmataceae","f:Prevotellaceae","f:Corynebacteriaceae","f:Chromobacteriaceae","f:Un_Eubacterium","f:Bdellovibrionaceae","f:Pectobacteriaceae","f:Microbulbiferaceae","f:Hymenobacteraceae","f:Lactobacillaceae","f:Nitrosomonadaceae","f:Zoogloeaceae","f:Neisseriaceae","f:Balneolaceae","f:Thermaceae"
"f:Pelagibacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"f:Pseudoalteromonadaceae",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f:Alteromonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f:Flavobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"f:Pseudomonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f:Prochloraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f:Synechococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f:Rhodobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f:Sphingomonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f:Chromatiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
