"","f:Flavobacteriaceae","f:Sphingomonadaceae","f:Alteromonadaceae","f:Pseudomonadaceae","f:Pseudoalteromonadaceae","f:Chromatiaceae","f:Moraxellaceae","f:Erythrobacteraceae","f:Halomonadaceae","f:Rhodobacteraceae","f:Cyclobacteriaceae","f:Vibrionaceae","f:Burkholderiaceae","f:Caulobacteraceae","f:Shewanellaceae","f:Pelagibacteraceae","f:Cytophagaceae","f:Enterobacteriaceae","f:Alcanivoracaceae","f:Oceanospirillaceae","f:Synechococcaceae","f:Piscirickettsiaceae","f:Idiomarinaceae","f:Comamonadaceae","f:Rhizobiaceae","f:Aeromonadaceae","f:Bradyrhizobiaceae","f:Cellvibrionaceae","f:Xanthomonadaceae","f:Hyphomonadaceae","f:Rhodospirillaceae","f:Flammeovirgaceae","f:Bacillaceae","f:Ectothiorhodospiraceae","f:Oxalobacteraceae","f:Phyllobacteriaceae","f:Bacteroidaceae","f:Mycobacteriaceae","f:Alcaligenaceae","f:Colwelliaceae","f:Methylobacteriaceae","f:Yersiniaceae","f:Chitinophagaceae","f:Sphingobacteriaceae","f:Hahellaceae","f:Methylococcaceae","f:Halieaceae","f:Pectobacteriaceae","f:Streptomycetaceae","f:Morganellaceae","f:Acetobacteraceae","f:Pasteurellaceae","f:Paenibacillaceae","f:Clostridiaceae","f:Lewinellaceae","f:Un_Eubacterium","f:Methylophilaceae","f:Brucellaceae","f:Pirellulaceae","f:Aurantimonadaceae","f:Microbacteriaceae","f:Saccharospirillaceae","f:Geobacteraceae","f:Chromobacteriaceae","f:Zoogloeaceae","f:Nocardiaceae","f:Prochloraceae","f:Hyphomicrobiaceae","f:Erwiniaceae","f:Pseudonocardiaceae","f:Xanthobacteraceae","f:Planctomycetaceae","f:Unknown","f:Nitrosomonadaceae","f:Hymenobacteraceae","f:Tannerellaceae","f:Microbulbiferaceae","f:Rhodobiaceae","f:Un_Alphaproteobacteria","f:Archangiaceae","f:Psychromonadaceae","f:Un_SAR","f:Desulfovibrionaceae","f:Nostocaceae","f:Burkholderiales","f:Rhodothermaceae","f:Rhodocyclaceae","f:Neisseriaceae","f:Chlorobiaceae","f:Solibacteraceae","f:Oscillatoriaceae","f:Rhodanobacteraceae","f:Prevotellaceae","f:Kordiimonadaceae","f:Microcoleaceae","f:Lachnospiraceae","f:Desulfuromonadaceae","f:Spongiibacteraceae","f:Moritellaceae","f:Sterolibacteriaceae","f:Enterococcaceae","f:Kangiellaceae","f:Aphanothecaceae","f:Thiobacillaceae","f:Leptospiraceae","f:Peptococcaceae","f:Desulfobacteraceae","f:Streptococcaceae","f:Legionellaceae","f:Campylobacteraceae","f:Myxococcaceae","f:Frankiaceae","f:Un_Marinimicrobia ","f:Microscillaceae","f:Thermoanaerobacteraceae","f:Balneolaceae","f:Anaeromyxobacteraceae","f:Micrococcaceae","F:Un_Actinobacterium","f:Dysgonamonadaceae","f:Methylocystaceae","f:Hafniaceae","f:Staphylococcaceae","f:Lactobacillaceae","f:Gallionellaceae","f:Acidobacteriaceae","f:Thermaceae","f:Gordoniaceae","f:Deinococcaceae","f:Micromonosporaceae","f:Sinobacteraceae","f:Beijerinckiaceae","f:Parvularculaceae","f:Desulfobulbaceae","f:Azonexaceae","f:Polyangiaceae","f:Corynebacteriaceae","f:Marinilabiliaceae","f:Endozoicomonadaceae","f:Helicobacteraceae","f:Kiloniellaceae"
"f:Flavobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f:Sphingomonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"f:Alteromonadaceae",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"f:Pseudomonadaceae",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f:Pseudoalteromonadaceae",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f:Chromatiaceae",0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f:Moraxellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f:Erythrobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"f:Halomonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"f:Rhodobacteraceae",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
