family	clusterID
f:Alteromonadaceae	0
f:Nostocaceae	0
f:Pseudoalteromonadaceae	0
f:Colwelliaceae	0
f:Methylococcaceae	0
f:Vibrionaceae	0
f:Desulfovibrionaceae	0
f:Planctomycetaceae	0
f:Yersiniaceae	0
f:Kangiellaceae	0
f:Shewanellaceae	0
f:Pasteurellaceae	0
f:Methylophilaceae	0
f:Microbulbiferaceae	0
f:Pectobacteriaceae	0
f:Microcoleaceae	0
f:Archangiaceae	1
f:Hyphomonadaceae	1
f:Kordiimonadaceae	1
f:Nocardiaceae	1
f:Sphingomonadaceae	1
f:Acetobacteraceae	1
f:Caulobacteraceae	1
f:Xanthobacteraceae	1
f:Alcaligenaceae	1
f:Rhodobiaceae	1
f:Xanthomonadaceae	1
f:Methylobacteriaceae	1
f:Bradyrhizobiaceae	1
f:Piscirickettsiaceae	2
f:Erythrobacteraceae	2
f:Un_SAR	2
f:Pelagibacteraceae	2
f:Prochloraceae	2
f:Lewinellaceae	2
f:Un_Eubacterium	2
f:Solibacteraceae	2
f:Chlorobiaceae	2
f:Unknown	2
f:Halomonadaceae	3
f:Oscillatoriaceae	3
f:Burkholderiaceae	3
f:Clostridiaceae	3
f:Bacillaceae	3
f:Paenibacillaceae	3
f:Ectothiorhodospiraceae	3
f:Pirellulaceae	3
f:Lachnospiraceae	3
f:Prevotellaceae	4
f:Flavobacteriaceae	4
f:Streptococcaceae	4
f:Halieaceae	4
f:Chitinophagaceae	4
f:Dysgonamonadaceae	4
f:Tannerellaceae	4
f:Un_Alphaproteobacteria	4
f:Rhodospirillaceae	4
f:Chromatiaceae	5
f:Hahellaceae	5
f:Enterobacteriaceae	5
f:Neisseriaceae	5
f:Rhodothermaceae	5
f:Bacteroidaceae	5
f:Morganellaceae	5
f:Cellvibrionaceae	5
f:Mycobacteriaceae	6
f:Pseudomonadaceae	6
f:Spongiibacteraceae	6
f:Oceanospirillaceae	6
f:Halobacteriovoraceae	6
f:Streptomycetaceae	6
f:Pseudonocardiaceae	6
f:Bdellovibrionaceae	6
f:Zoogloeaceae	7
f:Saccharospirillaceae	7
f:Rhodocyclaceae	7
f:Oxalobacteraceae	7
f:Chromobacteriaceae	7
f:Erwiniaceae	7
f:Comamonadaceae	7
f:Nitrosomonadaceae	7
f:Aeromonadaceae	8
f:Phyllobacteriaceae	8
f:Psychromonadaceae	8
f:Brucellaceae	8
f:Hyphomicrobiaceae	8
f:Rhizobiaceae	8
f:Aurantimonadaceae	8
f:Microbacteriaceae	9
f:Cyclobacteriaceae	9
f:Sphingobacteriaceae	9
f:Cytophagaceae	9
f:Hymenobacteraceae	9
f:Flammeovirgaceae	9
f:Alcanivoracaceae	10
f:Idiomarinaceae	10
f:Desulfuromonadaceae	11
f:Geobacteraceae	11
