family	clusterID
f:Halomonadaceae	0
f:Corynebacteriaceae	0
f:Pseudomonadaceae	0
f:Rhodanobacteraceae	0
f:Micromonosporaceae	0
f:Rhodothermaceae	0
f:Rubritaleaceae	0
f:Verrucomicrobiaceae	0
f:Hymenobacteraceae	0
f:Microscillaceae	0
f:Lewinellaceae	0
f:Chlorobiaceae	0
f:Bacillaceae	0
f:Paenibacillaceae	0
f:Peptococcaceae	0
f:Pirellulaceae	0
f:Burkholderiaceae	0
f:Desulfobulbaceae	0
f:Desulfovibrionaceae	0
f:Desulfuromonadaceae	0
f:Geobacteraceae	0
f:Pseudoalteromonadaceae	0
f:Ectothiorhodospiraceae	0
f:Methylococcaceae	0
f:Endozoicomonadaceae	1
f:Hahellaceae	1
f:Solibacteraceae	1
f:Pasteurellaceae	1
f:Vibrionaceae	1
f:Chitinophagaceae	1
f:Cyclobacteriaceae	1
f:Cytophagaceae	1
f:Flammeovirgaceae	1
f:Sphingobacteriaceae	1
f:Thermoanaerobacteraceae	1
f:Caulobacteraceae	1
f:Hyphomonadaceae	1
f:Sphingomonadaceae	1
f:Burkholderiales	1
f:Aeromonadaceae	1
f:Colwelliaceae	1
f:Moritellaceae	1
f:Psychromonadaceae	1
f:Shewanellaceae	1
f:Cellvibrionaceae	1
f:Un_Eubacterium	2
f:Un_Flavobacteriia	2
f:Bacteroidaceae	2
f:Tannerellaceae	2
f:Un_Rhodobacterales	2
f:Un_Burkholderiales	2
f:Weeksellaceae	2
f:Un_Nitrosomonadales	2
f:Un_Alteromonadales	2
f:Un_Gammaproteobacteria	2
f:Maricaulaceae	2
f:Flavobacteriaceae	2
f:Parvibaculaceae	2
f:Pelagibacteraceae	2
f:Rhodobiaceae	2
f:Erythrobacteraceae	2
f: o: Nitrosomonadales	2
f:Zoogloeaceae	2
f:Unknown	2
f:Un_Flavobacteriales	2
f:Xanthomonadaceae	3
f:Leptospiraceae	3
f:Puniceicoccaceae	3
f:Un_SAR	3
f:Oscillatoriaceae	3
f:Prochloraceae	3
f:Methylocystaceae	3
f:Alcaligenaceae	3
f:Nitrosomonadaceae	3
f:Thiobacillaceae	3
f:Campylobacteraceae	3
f:Chromatiaceae	3
f:Enterobacteriaceae	3
f:Erwiniaceae	3
f:Hafniaceae	3
f:Morganellaceae	3
f:Pectobacteriaceae	3
f:Yersiniaceae	3
f:Legionellaceae	3
f:Un_Alphaproteobacteria	4
f:Archangiaceae	4
f:Kangiellaceae	4
f:Microcoleaceae	4
f:Un_Marinimicrobia	4
f:Myxococcaceae	4
f:Gordoniaceae	4
f:Rhodospirillaceae	4
f:Piscirickettsiaceae	4
f:Micrococcaceae	4
f:Streptococcaceae	4
f:Streptomycetaceae	4
f:Opitutaceae	4
f:Spongiibacteraceae	4
f:Planctomycetaceae	4
f:Rhodocyclaceae	4
f:Un_Ruthia	4
f:Aphanothecaceae	5
f:Nostocaceae	5
f:Oceanospirillaceae	5
f:Helicobacteraceae	5
f:Saccharospirillaceae	5
f:Deinococcaceae	5
f:Thermaceae	5
f:Idiomarinaceae	5
f:Staphylococcaceae	5
f:Lactobacillaceae	5
f:Pseudonocardiaceae	5
f:Clostridiaceae	5
f:Lachnospiraceae	5
f:Alcanivoracaceae	5
F:Un_Actinobacterium	6
f:Hyphomicrobiaceae	6
f:Xanthobacteraceae	6
f:Alteromonadaceae	6
f:Microbacteriaceae	6
f:Comamonadaceae	6
f:Oxalobacteraceae	6
f:Chromobacteriaceae	6
f:Prevotellaceae	6
f:Gallionellaceae	6
f:Bdellovibrionaceae	6
f:Sterolibacteriaceae	6
f:Methylobacteriaceae	7
f:Phyllobacteriaceae	7
f:Rhizobiaceae	7
f:Nocardiaceae	7
f:Acetobacteraceae	7
f:Spirochaetaceae	7
f:Nocardiopsaceae	7
f:Aurantimonadaceae	7
f:Desulfobacteraceae	7
f:Brucellaceae	7
f:Acidobacteriaceae	8
f:Rhodobacteraceae	8
f:Francisellaceae	8
f:Halieaceae	8
f:Microbulbiferaceae	8
f:Porticoccaceae	8
f:Kiloniellaceae	8
f:Coxiellaceae	8
f:Balneolaceae	8
f:Moraxellaceae	9
f:Mycobacteriaceae	9
f:Enterococcaceae	9
f:Neisseriaceae	9
f:Methylophilaceae	9
f:Kordiimonadaceae	9
f:Beijerinckiaceae	9
f:Bradyrhizobiaceae	9
f:Un_Rhodospirillales	9
f:Ilumatobacteraceae	10
f:Synechococcaceae	10
f:Frankiaceae	10
f:Akkermansiaceae	10
f:Un_Verrucomicrobia	10
