family	clusterID
f:Alteromonadaceae	0
f:Oxalobacteraceae	0
f:Pseudoalteromonadaceae	0
f:Mycobacteriaceae	0
f:Prochloraceae	0
f:Aphanothecaceae	0
f:Comamonadaceae	0
f:Nostocaceae	0
f:Sphingobacteriaceae	0
F:Un_Actinobacterium	0
f:Caulobacteraceae	0
f:Methylococcaceae	0
f:Puniceicoccaceae	0
f:Shewanellaceae	0
f:Kangiellaceae	0
f:Colwelliaceae	0
f:Pasteurellaceae	0
f:Bacillaceae	0
f:Psychromonadaceae	0
f:Hyphomonadaceae	1
f:Xanthomonadaceae	1
f:Pelagibacteraceae	1
f:Piscirickettsiaceae	1
f:Erythrobacteraceae	1
f:Halieaceae	1
f:Zoogloeaceae	1
f:Hahellaceae	1
f:Methylobacteriaceae	1
f:Rhizobiaceae	1
f:Clostridiaceae	1
f:Microbacteriaceae	1
f:Ectothiorhodospiraceae	1
f:Alcanivoracaceae	1
f:Idiomarinaceae	1
f:Nitrosomonadaceae	2
f:Microbulbiferaceae	2
f:Legionellaceae	2
f:Brucellaceae	2
f:Planctomycetaceae	2
f:Phyllobacteriaceae	2
f:Synechococcaceae	2
f:Pseudonocardiaceae	2
f:Chitinophagaceae	2
f:Microcoleaceae	2
f:Un_Marinimicrobia 	2
f:Desulfovibrionaceae	2
f:Bradyrhizobiaceae	2
f:Aurantimonadaceae	3
f:Flammeovirgaceae	3
f:Rhodobacteraceae	3
f:Desulfobacteraceae	3
f:Rhodocyclaceae	3
f:Enterobacteriaceae	3
f:Peptococcaceae	3
f:Saccharospirillaceae	3
f:Chromobacteriaceae	3
f:Streptomycetaceae	3
f:Hymenobacteraceae	3
f:Paenibacillaceae	3
f:Flavobacteriaceae	4
f:Neisseriaceae	4
f:Moraxellaceae	4
f:Spongiibacteraceae	4
f:Tannerellaceae	4
f:Un_Rhodospirillales	4
f:Bacteroidaceae	4
f:Kiloniellaceae	4
f:Yersiniaceae	4
f:Rhodospirillaceae	4
f:Cellvibrionaceae	5
f:Methylophilaceae	5
f:Balneolaceae	5
f:Sphingomonadaceae	5
f:Burkholderiaceae	5
f:Burkholderiales	5
f:Porticoccaceae	5
f:Prevotellaceae	5
f:Xanthobacteraceae	5
f:Rhodothermaceae	5
f:Pectobacteriaceae	6
f:Rubritaleaceae	6
f:Chromatiaceae	6
f:Aeromonadaceae	6
f:Alcaligenaceae	6
f:Akkermansiaceae	6
f:Lewinellaceae	6
f:Un_Verrucomicrobia	6
f:Geobacteraceae	7
f:Rhodobiaceae	7
f:Pseudomonadaceae	7
f:Ilumatobacteraceae	7
f:Hyphomicrobiaceae	7
f:Un_Eubacterium	7
f:Erwiniaceae	7
f:Verrucomicrobiaceae	7
f:Desulfuromonadaceae	8
f:Leptospiraceae	8
f:Campylobacteraceae	8
f:Un_Alphaproteobacteria	8
f:Unknown	8
f:Un_SAR	8
f:Morganellaceae	9
f:Lachnospiraceae	9
f:Vibrionaceae	9
f:Cytophagaceae	10
f:Cyclobacteriaceae	10
f:Nocardiaceae	11
f:Acetobacteraceae	11
