family	clusterID
f:Rhodothermaceae	0
f:Yersiniaceae	0
f:Microbulbiferaceae	0
f:Xanthomonadaceae	0
f:Neisseriaceae	0
f:Balneolaceae	0
f:Morganellaceae	0
f:Thermaceae	0
f:Xanthobacteraceae	0
f:Thermoanaerobacteraceae	0
f:Shewanellaceae	0
f:Desulfobacteraceae	0
f:Aeromonadaceae	0
f:Erwiniaceae	0
f:Idiomarinaceae	0
f:Rhizobiaceae	0
f:Aurantimonadaceae	0
f:Anaplasmataceae	0
f:Pelagibacteraceae	1
f:Bdellovibrionaceae	1
f:Chlorobiaceae	1
f:Clostridiaceae	1
f:Pseudomonadaceae	1
f:Kiloniellaceae	1
f:Prochloraceae	1
f:Peptococcaceae	1
f:Leptospiraceae	1
f:Campylobacteraceae	1
f:Un_Marinimicrobia 	1
f:Chitinophagaceae	1
f:Un_Alphaproteobacteria	1
f:Bacillaceae	1
f:Hyphomicrobiaceae	1
f:Cellvibrionaceae	2
f:Pectobacteriaceae	2
f:Halieaceae	2
f:Pseudonocardiaceae	2
f:Phyllobacteriaceae	2
f:Synechococcaceae	2
f:Rhodobacteraceae	2
f:Desulfovibrionaceae	2
f:Streptomycetaceae	2
f:Aphanothecaceae	2
f:Nocardiaceae	2
f:Unknown	2
f:Verrucomicrobia subdivision 3	2
f:Geobacteraceae	2
f:Un_Eubacterium	3
f:Flavobacteriaceae	3
f:Lewinellaceae	3
f:Un_Verrucomicrobia	3
f:Bacteroidaceae	3
f:Un_SAR	3
f:Spongiibacteraceae	3
f:Prevotellaceae	3
f:Pseudoalteromonadaceae	4
f:Alteromonadaceae	4
f:Colwelliaceae	4
f:Vibrionaceae	4
f:Enterobacteriaceae	4
f:Psychromonadaceae	4
f:Pasteurellaceae	4
f:Flammeovirgaceae	5
f:Lactobacillaceae	5
f:Hymenobacteraceae	5
f:Chromatiaceae	5
f:Cyclobacteriaceae	5
f:Alcanivoracaceae	5
f:Cytophagaceae	5
f:Rhodospirillaceae	6
f:Paenibacillaceae	6
f:Moraxellaceae	6
f:Ilumatobacteraceae	6
f:Legionellaceae	6
f:Desulfuromonadaceae	6
f:Rhodobiaceae	6
f:Sphingomonadaceae	7
f:Caulobacteraceae	7
f:Nitrosopumilaceae	7
f:Erythrobacteraceae	7
f:Rickettsiaceae	7
f:Ectothiorhodospiraceae	8
f:Burkholderiaceae	8
f:Oxalobacteraceae	8
f:Comamonadaceae	8
f:Lachnospiraceae	9
f:Halomonadaceae	9
f:Acetobacteraceae	9
f:Nostocaceae	10
f:Sphingobacteriaceae	10
f:Microcoleaceae	10
f:Pirellulaceae	11
f:Piscirickettsiaceae	11
