family	clusterID
f:Micromonosporaceae	0
f:Helicobacteraceae	0
f:Caulobacteraceae	0
f:Oceanospirillaceae	0
f:Idiomarinaceae	0
f:Rhizobiaceae	0
f:Rhodospirillaceae	0
f:Phyllobacteriaceae	0
f:Mycobacteriaceae	0
f:Methylobacteriaceae	0
f:Streptomycetaceae	0
f:Methylophilaceae	0
f:Brucellaceae	0
f:Nocardiaceae	0
f:Pseudonocardiaceae	0
f:Legionellaceae	0
f:Campylobacteraceae	0
f:Frankiaceae	0
f:Anaeromyxobacteraceae	0
f:Micrococcaceae	0
f:Thermaceae	0
f:Gordoniaceae	0
f:Solibacteraceae	1
f:Alteromonadaceae	1
f:Pseudomonadaceae	1
f:Erwiniaceae	1
f:Chromatiaceae	1
f:Moritellaceae	1
f:Colwelliaceae	1
f:Kangiellaceae	1
f:Rhodobacteraceae	1
f:Endozoicomonadaceae	1
f:Aurantimonadaceae	1
f:Hahellaceae	1
f:Microbulbiferaceae	1
f:Shewanellaceae	1
f:Psychromonadaceae	1
f:Morganellaceae	1
f:Sterolibacteriaceae	1
f:Aeromonadaceae	1
f:Cellvibrionaceae	1
f:Saccharospirillaceae	1
f:Flavobacteriaceae	2
f:Bacteroidaceae	2
f:Leptospiraceae	2
f:Chitinophagaceae	2
f:Tannerellaceae	2
f:Streptococcaceae	2
f:Sphingobacteriaceae	2
f:Flammeovirgaceae	2
f:Hymenobacteraceae	2
f:Microscillaceae	2
f:Balneolaceae	2
f:Rhodothermaceae	2
f:Lewinellaceae	2
f:Un_Eubacterium	2
f:Chlorobiaceae	2
f:Pirellulaceae	2
f:Prevotellaceae	2
f:Geobacteraceae	2
f:Lachnospiraceae	2
f:Beijerinckiaceae	3
f:Parvularculaceae	3
f:Xanthobacteraceae	3
f:Erythrobacteraceae	3
f:Corynebacteriaceae	3
f:Desulfobacteraceae	3
f:Rhodobiaceae	3
f:Acetobacteraceae	3
f:Hyphomonadaceae	3
f:Clostridiaceae	3
f:Piscirickettsiaceae	3
f:Methylocystaceae	3
f:Bradyrhizobiaceae	3
f:Gallionellaceae	3
f:Kordiimonadaceae	3
f:Zoogloeaceae	4
f:Prochloraceae	4
f:Moraxellaceae	4
f:Nitrosomonadaceae	4
f:Un_Alphaproteobacteria	4
f:Pelagibacteraceae	4
f:Un_Marinimicrobia 	4
f:Un_SAR	4
f:Nostocaceae	4
f:Paenibacillaceae	4
f:Synechococcaceae	4
f:Rhodocyclaceae	4
f:Lactobacillaceae	4
f:Acidobacteriaceae	4
f:Chromobacteriaceae	4
f:Ectothiorhodospiraceae	5
f:Sphingomonadaceae	5
f:Desulfobulbaceae	5
f:Polyangiaceae	5
f:Halomonadaceae	5
f:Yersiniaceae	5
f:Peptococcaceae	5
f:Methylococcaceae	5
f:Myxococcaceae	5
f:Pectobacteriaceae	5
f:Enterobacteriaceae	5
f:Pasteurellaceae	5
f:Neisseriaceae	5
f:Hafniaceae	5
f:Microbacteriaceae	5
f:Desulfuromonadaceae	6
f:Bacillaceae	6
f:Sinobacteraceae	6
f:Aphanothecaceae	6
f:Thiobacillaceae	6
f:Burkholderiaceae	6
f:Desulfovibrionaceae	6
f:Burkholderiales	6
F:Un_Actinobacterium	6
f:Oscillatoriaceae	6
f:Microcoleaceae	6
f:Oxalobacteraceae	7
f:Hyphomicrobiaceae	7
f:Azonexaceae	7
f:Alcaligenaceae	7
f:Marinilabiliaceae	7
f:Cyclobacteriaceae	7
f:Kiloniellaceae	7
f:Cytophagaceae	7
f:Comamonadaceae	7
f:Spongiibacteraceae	8
f:Enterococcaceae	8
f:Planctomycetaceae	8
f:Unknown	8
f:Vibrionaceae	8
f:Halieaceae	8
f:Archangiaceae	8
f:Rhodanobacteraceae	8
f:Xanthomonadaceae	8
f:Deinococcaceae	9
f:Pseudoalteromonadaceae	9
f:Thermoanaerobacteraceae	9
f:Dysgonamonadaceae	9
f:Staphylococcaceae	9
