"","Subsystem.Level.2","location","mean.loc.abund"
"1","Amino acid racemase","Cancun",0.00058756378678504
"2","Amino acid racemase","Lapaz",0.000437573581198699
"3","Amino acid racemase","Ningaloo",0.000467543914858041
"4","Amino acid racemase","Philippines",0.000558026468732316
"5","Amino acid racemase","Tanzania",0.000429470548247441
"6","Creatine and Creatinine Degradation","Cancun",0.000505064693415905
"7","Creatine and Creatinine Degradation","Lapaz",0.00204717894944161
"8","Creatine and Creatinine Degradation","Ningaloo",0.00260928086711854
"9","Creatine and Creatinine Degradation","Philippines",0.000641407857597312
"10","Creatine and Creatinine Degradation","Tanzania",0.00105965902108363
"11","Alanine, serine, and glycine","Cancun",0.00706063506871462
"12","Alanine, serine, and glycine","Lapaz",0.00814624463018455
"13","Alanine, serine, and glycine","Ningaloo",0.00870354664458989
"14","Alanine, serine, and glycine","Philippines",0.00688452694112769
"15","Alanine, serine, and glycine","Tanzania",0.00771603593659536
"16","Arginine; urea cycle, polyamines","Cancun",0.0146923135211841
"17","Arginine; urea cycle, polyamines","Lapaz",0.0145520066874
"18","Arginine; urea cycle, polyamines","Ningaloo",0.0160264027204833
"19","Arginine; urea cycle, polyamines","Philippines",0.0148596260510659
"20","Arginine; urea cycle, polyamines","Tanzania",0.0161803222791314
"21","Aromatic amino acids and derivatives","Cancun",0.0109395315663736
"22","Aromatic amino acids and derivatives","Lapaz",0.0125951679313668
"23","Aromatic amino acids and derivatives","Ningaloo",0.013108394746783
"24","Aromatic amino acids and derivatives","Philippines",0.011922035097955
"25","Aromatic amino acids and derivatives","Tanzania",0.0121025474449407
"26","Branched-chain amino acids","Cancun",0.0185606402148607
"27","Branched-chain amino acids","Lapaz",0.0196401622879992
"28","Branched-chain amino acids","Ningaloo",0.0204590882552442
"29","Branched-chain amino acids","Philippines",0.019783418961344
"30","Branched-chain amino acids","Tanzania",0.0203165018253475
"31","Glutamine, glutamate, aspartate, asparagine; ammonia assimilation","Cancun",0.00860718596021079
"32","Glutamine, glutamate, aspartate, asparagine; ammonia assimilation","Lapaz",0.00884636638406209
"33","Glutamine, glutamate, aspartate, asparagine; ammonia assimilation","Ningaloo",0.00879407524342643
"34","Glutamine, glutamate, aspartate, asparagine; ammonia assimilation","Philippines",0.00898239345445205
