"","family","location","mean.loc.abund"
"1","f:Un_Korarchaeum","Cancun",7.69572693267381e-06
"2","f:Un_Korarchaeum","Lapaz",1.73396895660899e-05
"3","f:Un_Korarchaeum","Ningaloo",0.000169999737697297
"4","f:Un_Korarchaeum","Philippines",1.46482399082989e-05
"5","f:Un_Korarchaeum","Tanzania",1.74871592253346e-05
"6","f:Desulfurococcaceae","Cancun",1.01076374528155e-05
"7","f:Desulfurococcaceae","Lapaz",3.12829083783664e-05
"8","f:Desulfurococcaceae","Ningaloo",0.00027758677753456
"9","f:Desulfurococcaceae","Philippines",2.05894805997388e-05
"10","f:Desulfurococcaceae","Tanzania",2.84017769962678e-05
"11","f:Pyrodictiaceae","Cancun",1.70207708184117e-05
"12","f:Pyrodictiaceae","Lapaz",1.39649783578895e-05
"13","f:Pyrodictiaceae","Ningaloo",7.01427512536253e-05
"14","f:Pyrodictiaceae","Philippines",2.08130221189506e-05
"15","f:Pyrodictiaceae","Tanzania",2.24004086367632e-05
"16","f:Sulfolobaceae","Cancun",2.82135268791415e-05
"17","f:Sulfolobaceae","Lapaz",5.40506451764512e-05
"18","f:Sulfolobaceae","Ningaloo",0.000280256519170891
"19","f:Sulfolobaceae","Philippines",3.6222243953379e-05
"20","f:Sulfolobaceae","Tanzania",3.52004993868639e-05
"21","f:Thermofilaceae","Cancun",1.25326540171359e-05
"22","f:Thermofilaceae","Lapaz",3.25327404022421e-05
"23","f:Thermofilaceae","Ningaloo",9.91683733136119e-05
"24","f:Thermofilaceae","Philippines",1.70898768963334e-05
"25","f:Thermofilaceae","Tanzania",1.3132396617016e-05
"26","f:Thermoproteaceae","Cancun",5.0617240034843e-05
"27","f:Thermoproteaceae","Lapaz",5.97523843673436e-05
"28","f:Thermoproteaceae","Ningaloo",0.000266388559688029
"29","f:Thermoproteaceae","Philippines",5.74111572874337e-05
"30","f:Thermoproteaceae","Tanzania",5.37315942931276e-05
"31","f:Archaeoglobaceae","Cancun",0.000151760168070607
