Id,Label,meanabund,logmean,clusterId,color
0,Protein biosynthesis,0.0514884142613328,-2.966398462420411,8,#AA4499
1,Ton and tol transporters,0.0402917515071136,-3.211608508221584,4,#88CCEE
2,Resistance to toxic compounds,0.036203053740017,-3.318611806249269,10,#CCDDAA
3,DNA repair,0.0332205065644661,-3.404587926133415,1,#332288
4,RNA processing and modification,0.0313810738668828,-3.461550310883477,2,#DDCC77
5,Central carbohydrate metabolism,0.0311846737686295,-3.4678285302218446,0,#CC6677
6,"Lysine, threonine, methionine, and cysteine",0.0311919130617161,-3.46759641450385,3,#117733
7,Resistance to antibiotics,0.023793513931762995,-3.738342259321592,4,#88CCEE
8,Monosaccharides,0.0216651152442728,-3.8320519044287926,0,#CC6677
9,Gram-Negative cell wall components,0.0194169980899557,-3.941606406339517,9,#CCEEFF
10,Branched-chain amino acids,0.0185606402148607,-3.9867120578838313,1,#332288
11,Oxidative stress,0.0185723718177812,-3.9860801886834274,1,#332288
12,Flagellar motility in Prokaryota,0.0182572392304896,-4.0031936074426335,0,#CC6677
13,Protein degradation,0.0178388649497871,-4.026375777745217,1,#332288
14,Fatty acids general,0.0181624628847138,-4.008398293599797,2,#DDCC77
15,Folate and pterines,0.0177728315631756,-4.030084304367539,2,#DDCC77
16,DNA replication,0.0175841579623397,-4.040756898061647,1,#332288
17,Purines,0.0172848111077015,-4.057927133773468,1,#332288
18,Di- and oligosaccharides,0.0172074601937589,-4.062412257002064,6,#44AA99
19,Electron accepting reactions,0.0152295046355515,-4.184520638175177,7,#999933
20,"Arginine; urea cycle, polyamines",0.0146923135211841,-4.220430811667315,4,#88CCEE
21,Regulation and cell signaling,0.0145756404964796,-4.228403602841173,7,#999933
22,Phosphate metabolism,0.0131636975654284,-4.330292422532294,1,#332288
23,Capsular and extracellular polysacchrides,0.0130490036769109,-4.339043494724851,4,#88CCEE
24,Electron donating reactions,0.0130598515199205,-4.338212524270418,8,#AA4499
25,Transcription,0.0111782099374811,-4.493788937001184,8,#AA4499
26,Aromatic amino acids and derivatives,0.0109395315663736,-4.515372301335238,1,#332288
27,TCA Cycle,0.00925010014929418,-4.683120900565692,8,#AA4499
28,One-carbon Metabolism,0.009207954703461741,-4.687687526833805,0,#CC6677
29,Thiamin biosynthesis,0.00947441646765242,-4.659160116437624,0,#CC6677
30,Peptidoglycan Biosynthesis,0.00860468737760054,-4.7554481802981154,0,#CC6677
31,Pyrimidines,0.00856555269661605,-4.760006619618879,5,#882255
32,"Glutamine, glutamate, aspartate, asparagine; ammonia assimilation",0.008607185960210791,-4.755157847853905,5,#882255
33,Quinone cofactors,0.00846238271206597,-4.772124500566116,3,#117733
34,Biotin,0.00811684253543885,-4.813814050745851,8,#AA4499
35,Respiration-Biogenesis,0.008064583618885209,-4.820273196898289,4,#88CCEE
36,Potassium homeostasis,0.00787939683555028,-4.843503921753862,12,#007788
37,Osmotic stress,0.00757310859570735,-4.883151649100189,0,#CC6677
38,Heat shock,0.007426530596500309,-4.902696474594696,5,#882255
39,Fermentation,0.00733407095758172,-4.915224534225495,11,#DDDDDD
40,Protein folding,0.007182787326144191,-4.936067764270969,13,#000000
41,Bacterial Chemotaxis,0.00703300302490291,-4.957141491554982,0,#CC6677
42,"Alanine, serine, and glycine",0.00706063506871462,-4.953220278446796,1,#332288
43,Organic acids,0.00700585641635974,-4.96100884879885,0,#CC6677
44,ABC transporters,0.00648774691621854,-5.037839970910969,4,#88CCEE
45,Phospholipids,0.00686586742029045,-4.981192893732479,14,#000000
46,Histidine Metabolism,0.00644352791736355,-5.044679075605569,1,#332288
47,Ammonia assimilation,0.00647291362901336,-5.040128942777775,2,#DDCC77
48,Glutathione-regulated potassium-efflux system,0.00628524610672516,-5.069550279914185,3,#117733
49,stress- hemoglobins,0.0062213453588498896,-5.079769099984547,3,#117733
50,Polysaccharides,0.00598666515693988,-5.11822075695776,6,#44AA99
51,Cell wall general,0.005967500816115,-5.121427062991349,1,#332288
52,"Riboflavin, FMN, FAD",0.005977556003398729,-5.119743489642019,1,#332288
53,Sugar alcohols,0.00563806310910852,-5.178214692825279,2,#DDCC77
54,"Protein and nucleoprotein secretion system, Type IV",0.005736248309102379,-5.16094988702932,0,#CC6677
55,Protein processing and modification,0.00563887660403355,-5.178070416993869,0,#CC6677
56,Proline and 4-hydroxyproline,0.0056037055159557396,-5.184327200789664,1,#332288
57,Lipoic acid,0.00517056269976083,-5.264773756972225,5,#882255
