Id,Label,meanabund,logmean,clusterId,color
0,f:Alteromonadaceae,0.186749555816488,-1.6779868334647405,0,#CC6677
1,f:Flavobacteriaceae,0.16080081438743898,-1.8275888576515948,4,#88CCEE
2,f:Halomonadaceae,0.0856925578840734,-2.4569892963081443,3,#117733
3,f:Pseudomonadaceae,0.0981378131459359,-2.3213825315731746,6,#44AA99
4,f:Pseudoalteromonadaceae,0.0454086841295248,-3.0920519118405867,0,#CC6677
5,f:Sphingomonadaceae,0.0486087942144697,-3.0239508135303166,1,#332288
6,f:Erythrobacteraceae,0.0458376766050346,-3.082648892741619,2,#DDCC77
7,f:Idiomarinaceae,0.0396273916094318,-3.2282346925320584,10,#CCDDAA
8,f:Vibrionaceae,0.0293784669372644,-3.527493290085792,0,#CC6677
9,f:Rhodobacteraceae,0.0169104060574211,-4.079826103502406,20,#000000
10,f:Moraxellaceae,0.0171572281313549,-4.065335728776651,20,#000000
11,f:Alcanivoracaceae,0.0122863536214351,-4.399266094183902,10,#CCDDAA
12,f:Burkholderiaceae,0.0109928934310832,-4.510506266684815,3,#117733
13,f:Enterobacteriaceae,0.00796597372454232,-4.8325760926787495,5,#882255
14,f:Oceanospirillaceae,0.00483117638021704,-5.332665283992089,6,#44AA99
15,f:Cyclobacteriaceae,0.00858261301037312,-4.758016865183654,9,#CCEEFF
16,f:Pelagibacteraceae,0.0049930537546086,-5.299707581527506,2,#DDCC77
17,f:Shewanellaceae,0.00683766935013111,-4.985308343697083,0,#CC6677
18,f:Bacillaceae,0.00566914325635293,-5.172717273831731,3,#117733
19,f:Cytophagaceae,0.0060261966176859,-5.111639210580976,9,#CCEEFF
20,f:Bacteroidaceae,0.0048709552559039705,-5.324465210013107,5,#882255
21,f:Comamonadaceae,0.00437770999837429,-5.431229522739183,7,#999933
22,f:Caulobacteraceae,0.00485758462994158,-5.327213954334016,1,#332288
23,f:Rhodospirillaceae,0.0035262928707899704,-5.647508138106949,4,#88CCEE
24,f:Rhizobiaceae,0.00438514890319407,-5.429531696335655,8,#AA4499
25,f:Ectothiorhodospiraceae,0.00373513681327231,-5.5899708310087,3,#117733
26,f:Cellvibrionaceae,0.00318505208702562,-5.749286636237535,5,#882255
27,f:Xanthomonadaceae,0.0035818128071154398,-5.631886236029272,1,#332288
28,f:Methylobacteriaceae,0.00329201341490563,-5.716255921173906,1,#332288
29,f:Bradyrhizobiaceae,0.0031397999475761,-5.76359619205463,1,#332288
30,f:Flammeovirgaceae,0.0028233710428414603,-5.8698237026971585,9,#CCEEFF
31,f:Synechococcaceae,0.00241867880969716,-6.024533834302677,20,#000000
32,f:Chromatiaceae,0.0024161461470726397,-6.025581509401083,5,#882255
33,f:Mycobacteriaceae,0.00256149796406775,-5.967163049405653,6,#44AA99
34,f:Hyphomonadaceae,0.00246870615129662,-6.004061090972683,1,#332288
35,f:Aeromonadaceae,0.00221891149121688,-6.110738522615426,8,#AA4499
36,f:Oxalobacteraceae,0.00230669401350215,-6.071939942526429,7,#999933
37,f:Piscirickettsiaceae,0.00157692638123771,-6.452277654882471,2,#DDCC77
38,f:Colwelliaceae,0.00207138569227952,-6.179537479104027,0,#CC6677
39,f:Methylococcaceae,0.00201663723721868,-6.206323888828681,0,#CC6677
40,f:Halieaceae,0.00174283452058591,-6.352242456374171,4,#88CCEE
41,f:Chitinophagaceae,0.00199193294224788,-6.218649783916541,4,#88CCEE
42,f:Hahellaceae,0.00178108503894732,-6.330532527949643,5,#882255
43,f:Phyllobacteriaceae,0.0020755723520429897,-6.177518331024339,8,#AA4499
44,f:Yersiniaceae,0.0017822620970831102,-6.329871880455213,0,#CC6677
45,f:Microbacteriaceae,0.00181753454795762,-6.310274340232379,9,#CCEEFF
46,f:Halobacteriovoraceae,0.000658988683141758,-7.324804196383488,6,#44AA99
47,f:Clostridiaceae,0.00149500750216335,-6.505624053982613,3,#117733
48,f:Sphingobacteriaceae,0.0014921891744939198,-6.507510992681818,9,#CCEEFF
49,f:Prochloraceae,0.00121023564829504,-6.716940187677877,2,#DDCC77
50,f:Pasteurellaceae,0.00140062859128076,-6.570834149356495,0,#CC6677
51,f:Lewinellaceae,0.00142023482304589,-6.5569330526986285,2,#DDCC77
52,f:Geobacteraceae,0.0014249659882223599,-6.5536073334605,11,#DDDDDD
53,f:Streptomycetaceae,0.00146560890525451,-6.525484487879387,6,#44AA99
54,f:Paenibacillaceae,0.00135285186578119,-6.605540421536793,3,#117733
55,f:Methylophilaceae,0.00121431681517785,-6.713573652369768,0,#CC6677
56,f:Alcaligenaceae,0.00132527544568635,-6.626134957611872,1,#332288
57,f:Morganellaceae,0.00134617651834762,-6.610486913454944,5,#882255
58,f:Pirellulaceae,0.00120262778009085,-6.723246299599954,3,#117733
59,f:Pectobacteriaceae,0.00113327855298894,-6.782640472794328,0,#CC6677
60,f:Acetobacteraceae,0.0010583954454554,-6.8510012484084255,1,#332288
61,f:Aurantimonadaceae,0.0010769602311065801,-6.833612807110284,8,#AA4499
62,f:Bdellovibrionaceae,0.000515748498299988,-7.5698913176991915,6,#44AA99
63,f:Unknown,0.0009097025465202471,-7.002392883843433,2,#DDCC77
64,f:Prevotellaceae,0.000938528401975476,-6.9711974392358265,4,#88CCEE
65,f:Zoogloeaceae,0.0009870478082328199,-6.920792081778015,7,#999933
66,f:Saccharospirillaceae,0.000870980492709747,-7.045890977792257,7,#999933
67,f:Chromobacteriaceae,0.0008911202915226721,-7.023031132285514,7,#999933
68,f:Planctomycetaceae,0.0009214699229460901,-6.989540420620828,0,#CC6677
69,f:Spongiibacteraceae,0.0005549673762683151,-7.496601227444071,6,#44AA99
70,f:Oscillatoriaceae,0.0008914082655884279,-7.0227080249029,3,#117733
71,f:Streptococcaceae,0.000746580024920819,-7.2000077465687085,4,#88CCEE
72,f:Desulfovibrionaceae,0.0008054454164941639,-7.124115121151472,0,#CC6677
73,f:Tannerellaceae,0.000832925327974753,-7.090566562102753,4,#88CCEE
74,f:Dysgonamonadaceae,0.000817420657544962,-7.109356714893878,4,#88CCEE
75,f:Psychromonadaceae,0.0007700692871631821,-7.169030063835994,8,#AA4499
76,f:Kangiellaceae,0.0008331962709963059,-7.090241324107988,0,#CC6677
77,f:Un_SAR,0.0005819022827721809,-7.449208023346325,2,#DDCC77
78,f:Brucellaceae,0.000819443427964417,-7.1068851945434455,8,#AA4499
79,f:Erwiniaceae,0.000781569533483304,-7.154206437673904,7,#999933
80,f:Desulfuromonadaceae,0.000734023481133938,-7.216969539215756,11,#DDDDDD
81,f:Hyphomicrobiaceae,0.0009484180545865961,-6.960715167064096,8,#AA4499
82,f:Neisseriaceae,0.000728982608854879,-7.223860682406325,5,#882255
83,f:Rhodothermaceae,0.000760312801251891,-7.181780628765364,5,#882255
84,f:Un_Eubacterium,0.000718451775527892,-7.238411972960924,2,#DDCC77
85,f:Un_Alphaproteobacteria,0.000607540895311981,-7.4060910676293075,4,#88CCEE
86,f:Pseudonocardiaceae,0.000744334892839274,-7.203019499622982,6,#44AA99
87,f:Xanthobacteraceae,0.000704380837580263,-7.258191385601718,1,#332288
88,f:Microbulbiferaceae,0.000653282163429832,-7.333501418755962,0,#CC6677
89,f:Solibacteraceae,0.0006985756387734009,-7.266467097694842,2,#DDCC77
90,f:Rhodobiaceae,0.000659779572606679,-7.323604759626815,1,#332288
91,f:Lachnospiraceae,0.000611857776553972,-7.399010693710659,3,#117733
92,f:Hymenobacteraceae,0.000649940884326245,-7.33862914640093,9,#CCEEFF
93,f:Chlorobiaceae,0.000616816276268151,-7.390939347820531,2,#DDCC77
94,f:Nitrosomonadaceae,0.00061397822989988,-7.395551086634837,7,#999933
95,f:Microcoleaceae,0.0006214267765891861,-7.383492471188315,0,#CC6677
96,f:Archangiaceae,0.000648757934107632,-7.340450893720606,1,#332288
97,f:Rhodocyclaceae,0.0006131283499364599,-7.39693626395077,7,#999933
98,f:Nocardiaceae,0.000625036687961929,-7.377700209211607,1,#332288
99,f:Kordiimonadaceae,0.000569148812153114,-7.471368625249405,1,#332288
100,f:Nostocaceae,0.000551575314804852,-7.502732165031929,0,#CC6677
