Id,Label,meanabund,logmean,clusterId,color
0,Creatine and Creatinine Degradation,0.00164121797078596,-6.412316647671911,3,#117733
1,"Alanine, serine, and glycine",0.00801743957148702,-4.826136163502135,0,#CC6677
2,"Arginine; urea cycle, polyamines",0.0148664653223464,-4.208647252055869,9,#CCEEFF
3,Aromatic amino acids and derivatives,0.0124542261124123,-4.38569526689034,2,#DDCC77
4,Branched-chain amino acids,0.0201412652912809,-3.9049845688746037,2,#DDCC77
5,"Glutamine, glutamate, aspartate, asparagine; ammonia assimilation",0.008758604712757741,-4.737718666085697,0,#CC6677
6,Histidine Metabolism,0.00717479631379445,-4.937180906060739,0,#CC6677
7,"Lysine, threonine, methionine, and cysteine",0.0345097375339982,-3.3665137474068496,7,#999933
8,Proline and 4-hydroxyproline,0.0053217949835019296,-5.23594462962225,4,#88CCEE
9,General Carbohydrate,0.0012024152102180301,-6.723423069723591,7,#999933
10,Aminosugars,0.00204313966082645,-6.19326760482408,1,#332288
11,CO2 fixation,0.00393836291345997,-5.53699014621606,1,#332288
12,Central carbohydrate metabolism,0.0366245202205371,-3.3070373115112655,10,#CCDDAA
13,TCA Cycle,0.0102947156371994,-4.576124560331226,6,#44AA99
14,Di- and oligosaccharides,0.0110427419911038,-4.5059819002122,1,#332288
15,Fermentation,0.007603871001157329,-4.8790978191030465,7,#999933
16,Monosaccharides,0.0145465572512324,-4.230400928397963,1,#332288
17,One-carbon Metabolism,0.00930014198322305,-4.677725611926236,4,#88CCEE
18,Organic acids,0.00707849476334463,-4.9506939979273215,9,#CCEEFF
19,Polysaccharides,0.00255538087535204,-5.969553995848503,5,#882255
20,Sugar alcohols,0.00620122494027559,-5.083008435433482,4,#88CCEE
21,Cell division,0.00047708239609695,-7.647821343844707,4,#88CCEE
22,Bacterial Cytoskeleton,0.00372578446640839,-5.592477854313667,2,#DDCC77
23,Macromolecular synthesis operon,0.00268169383786286,-5.921306655052311,2,#DDCC77
24,Two Cell division clusters relating to chromosome partitioning,0.00333976940422908,-5.70185351502692,5,#882255
25,Murein Hydrolases,0.0022589582029745397,-6.09285154411342,3,#117733
26,Peptidoglycan Biosynthesis,0.00973486705966827,-4.632041296166135,1,#332288
27,Cell wall general,0.00592810385065125,-5.128050872475936,8,#AA4499
28,Capsular and extracellular polysacchrides,0.0130655253022968,-4.337778173983024,4,#88CCEE
29,Gram-Negative cell wall components,0.0172825322451356,-4.058058984378587,3,#117733
30,Gram-Positive cell wall components,0.0006619587027646651,-7.320307386503854,2,#DDCC77
31,Ligases,0.00545212731295419,-5.211749413814811,6,#44AA99
32,Thiamin biosynthesis,0.00937940064866157,-4.669239414736663,6,#44AA99
33,General cofactors,4.64574301777076e-06,-12.2795592377221,4,#88CCEE
34,Molybdopterin cytosine dinucleotide,1e-06,-13.815510557964274,8,#AA4499
35,Biotin,0.009544370315247179,-4.6518037940960895,6,#44AA99
36,Coenzyme A,0.00518675415108066,-5.261647181867316,0,#CC6677
37,Fe-S clusters,0.0019191940064958802,-6.25584996936161,6,#44AA99
38,Folate and pterines,0.0171067593946879,-4.068281607339488,0,#CC6677
39,Lipoic acid,0.00544725110151596,-5.212644182594852,0,#CC6677
40,NAD and NADP,0.0048824078737070105,-5.322116764063855,0,#CC6677
41,Pyridoxine,0.00373737625446921,-5.5893714499855705,0,#CC6677
42,Quinone cofactors,0.00853122212508427,-4.764022653991631,0,#CC6677
