Id,Label,meanabund,logmean,clusterId,color
0,F:Un_Actinobacterium,0.000919081723294606,-6.992135513235198,6,#44AA99
1,f:Acidobacteriaceae,0.000398939304708466,-7.826701271170755,8,#AA4499
2,f:Solibacteraceae,0.000657922939419079,-7.326422746842125,1,#332288
3,f:Ilumatobacteraceae,0.0008860957289685881,-7.028685566955827,10,#CCDDAA
4,f:Un_Eubacterium,0.00188343509836122,-6.274657989423629,2,#DDCC77
5,f:Un_Marinimicrobia,0.0013028156584744199,-6.643227465541378,4,#88CCEE
6,f:Corynebacteriaceae,0.00059713470235327,-7.423367837940233,0,#CC6677
7,f:Gordoniaceae,0.000560120700999455,-7.487358259960922,4,#88CCEE
8,f:Mycobacteriaceae,0.00295076758970316,-5.825689942577155,9,#CCEEFF
9,f:Nocardiaceae,0.00094315964816391,-6.9662749915011615,7,#999933
10,f:Frankiaceae,0.000547204807899279,-7.510687405328892,10,#CCDDAA
11,f:Microbacteriaceae,0.00244496581859365,-6.013724136278321,6,#44AA99
12,f:Micrococcaceae,0.000491400828345226,-7.618250412194396,4,#88CCEE
13,f:Micromonosporaceae,0.000448071724384443,-7.710557239291361,0,#CC6677
14,f:Pseudonocardiaceae,0.00102557485952072,-6.882501985046131,5,#882255
15,f:Streptomycetaceae,0.0016868863081492401,-6.38487087060618,4,#88CCEE
16,f:Nocardiopsaceae,0.000437381499772963,-7.734704746516965,7,#999933
17,f:Rhodothermaceae,0.000804122754277676,-7.1257586209897825,0,#CC6677
18,f:Bacteroidaceae,0.00224249558467566,-6.1001659329627325,2,#DDCC77
19,f:Prevotellaceae,0.000796337195781375,-7.135487849027786,6,#44AA99
20,f:Tannerellaceae,0.000830208619213746,-7.093833540306064,2,#DDCC77
21,f:Chitinophagaceae,0.00199039363109814,-6.219422855234551,1,#332288
22,f:Cyclobacteriaceae,0.00583811996847532,-5.143346457176681,1,#332288
23,f:Cytophagaceae,0.00508053952415091,-5.282337817489638,1,#332288
24,f:Flammeovirgaceae,0.0036858356884817397,-5.603257997916991,1,#332288
25,f:Hymenobacteraceae,0.000931889709182816,-6.97829608806783,0,#CC6677
26,f:Microscillaceae,0.000628875265005704,-7.371577627756412,0,#CC6677
27,f:Flavobacteriaceae,0.0998615848673955,-2.3039702031424096,2,#DDCC77
28,f:Lewinellaceae,0.00319245115784817,-5.746966269204158,0,#CC6677
29,f:Sphingobacteriaceae,0.0025073540542256,-5.988527243520749,1,#332288
30,f:Balneolaceae,0.0009626329512782051,-6.945838370143435,8,#AA4499
31,f:Un_SAR,0.005235819715687639,-5.252231863214121,3,#117733
32,f:Un_Alphaproteobacteria,0.00222439161296666,-6.108271833127916,4,#88CCEE
33,f:Chlorobiaceae,0.0008947026545091491,-7.019019124488614,0,#CC6677
34,f:Aphanothecaceae,0.000649244665178802,-7.33970092435344,5,#882255
35,f:Nostocaceae,0.000778675681525055,-7.15791592545027,5,#882255
36,f:Microcoleaceae,0.000707000497869594,-7.254479187867675,4,#88CCEE
37,f:Oscillatoriaceae,0.000694633611914377,-7.272126028507802,3,#117733
38,f:Prochloraceae,0.000985919733702431,-6.9219356126565925,3,#117733
39,f:Synechococcaceae,0.0113560245785434,-4.478006876007481,10,#CCDDAA
40,f:Deinococcaceae,0.00044251140809573703,-7.723044312841299,5,#882255
41,f:Thermaceae,0.000520707477900397,-7.560322136653301,5,#882255
42,f:Bacillaceae,0.00362987724304725,-5.618556448619552,0,#CC6677
43,f:Paenibacillaceae,0.00131766637140351,-6.631893007416035,0,#CC6677
44,f:Staphylococcaceae,0.000529244946057122,-7.544059197249269,5,#882255
45,f:Enterococcaceae,0.000558936925317413,-7.489473926028077,9,#CCEEFF
46,f:Lactobacillaceae,0.000476313659196992,-7.649433972850849,5,#882255
47,f:Streptococcaceae,0.000646831766269023,-7.343424318497283,4,#88CCEE
48,f:Clostridiaceae,0.00154137820499676,-6.475078324465541,5,#882255
49,f:Lachnospiraceae,0.000976322920442019,-6.931717165165022,5,#882255
50,f:Peptococcaceae,0.000692393817028725,-7.275355664469963,0,#CC6677
51,f:Thermoanaerobacteraceae,0.0005985683546259429,-7.420969829586376,1,#332288
52,f:Pirellulaceae,0.0035384844529732,-5.644056764135295,0,#CC6677
53,f:Planctomycetaceae,0.0015586967665473,-6.463905212926223,4,#88CCEE
54,f:Bdellovibrionaceae,0.000645419400269786,-7.345610219501956,6,#44AA99
55,f:Un_Verrucomicrobia,0.00119091003909312,-6.7330375253886565,10,#CCDDAA
56,f:Caulobacteraceae,0.0133598752381195,-4.315499449381351,1,#332288
57,f:Kiloniellaceae,0.000699504085887817,-7.265138922720949,8,#AA4499
58,f:Kordiimonadaceae,0.0009169024861959131,-6.994509431388578,9,#CCEEFF
59,f:Pelagibacteraceae,0.0395622944635472,-3.2298787743254316,2,#DDCC77
60,f:Aurantimonadaceae,0.00185259244939298,-6.291169296833869,7,#999933
61,f:Beijerinckiaceae,0.000616298607104271,-7.391778960092301,9,#CCEEFF
62,f:Bradyrhizobiaceae,0.00661447801195825,-5.018494394285635,9,#CCEEFF
63,f:Brucellaceae,0.0013775825745797302,-6.587425073485406,7,#999933
64,f:Hyphomicrobiaceae,0.00133916250267554,-6.615710858415315,6,#44AA99
65,f:Methylobacteriaceae,0.00269934315180251,-5.914746812678712,7,#999933
66,f:Methylocystaceae,0.000632191258231524,-7.366318585814701,3,#117733
67,f:Phyllobacteriaceae,0.00369431764782959,-5.6009594106937,7,#999933
68,f:Rhizobiaceae,0.006114877481116879,-5.09703054583818,7,#999933
69,f:Rhodobiaceae,0.0014802748418343,-6.5155275045048615,2,#DDCC77
70,f:Xanthobacteraceae,0.0012064947262593099,-6.72003604401582,6,#44AA99
71,f:Rhodobacteraceae,0.0632488256157131,-2.760678718887387,8,#AA4499
72,f:Hyphomonadaceae,0.0160885628380863,-4.129646642160649,1,#332288
73,f:Acetobacteraceae,0.00169489806374022,-6.38013267934447,7,#999933
74,f:Rhodospirillaceae,0.00544123127105583,-5.213749907133402,4,#88CCEE
75,f:Erythrobacteraceae,0.0416380272772282,-3.178741412024581,2,#DDCC77
76,f:Sphingomonadaceae,0.0474349963966979,-3.0483950021002406,1,#332288
77,f:Burkholderiales,0.00268533317588716,-5.919950470865879,1,#332288
78,f:Comamonadaceae,0.0211968992285752,-3.853900370804674,6,#44AA99
79,f:Burkholderiaceae,0.0244336713799937,-3.7117931233829395,0,#CC6677
80,f:Alcaligenaceae,0.0057893283926248795,-5.151738988490406,3,#117733
81,f:Oxalobacteraceae,0.00479844615439124,-5.339463131311379,6,#44AA99
82,f:Chromobacteriaceae,0.00130029655876291,-6.6451629184052265,6,#44AA99
83,f:Neisseriaceae,0.000945510811693659,-6.963785235035679,9,#CCEEFF
84,f: o: Nitrosomonadales,0.000710345491483883,-7.249759098560279,2,#DDCC77
85,f:Gallionellaceae,0.000511461186238817,-7.578238857682847,6,#44AA99
86,f:Methylophilaceae,0.00173078582046512,-6.359179742121611,9,#CCEEFF
87,f:Nitrosomonadaceae,0.00102111724937816,-6.88685790860828,3,#117733
88,f:Sterolibacteriaceae,0.000998644555745188,-6.909111642682445,6,#44AA99
89,f:Thiobacillaceae,0.000611803182400017,-7.39909992456107,3,#117733
90,f:Rhodocyclaceae,0.000822681743239404,-7.102941135308983,4,#88CCEE
91,f:Zoogloeaceae,0.0012648439677207099,-6.672806510085685,2,#DDCC77
92,f:Unknown,0.0021686419640202,-6.13365413037091,2,#DDCC77
93,f:Desulfobacteraceae,0.0009009530879653119,-7.012057368342624,7,#999933
94,f:Desulfobulbaceae,0.000574241393747343,-7.462460703451485,0,#CC6677
95,f:Desulfovibrionaceae,0.0009725995203578061,-6.935538153149341,0,#CC6677
96,f:Desulfuromonadaceae,0.000881668878129924,-7.033693994067224,0,#CC6677
97,f:Geobacteraceae,0.00128048259334566,-6.660518246055776,0,#CC6677
98,f:Archangiaceae,0.0006177316735709941,-7.389456379952456,4,#88CCEE
99,f:Myxococcaceae,0.000455549147434506,-7.694006949314212,4,#88CCEE
100,f:Campylobacteraceae,0.000727435209666003,-7.22598562176295,3,#117733
101,f:Helicobacteraceae,0.000410264005589971,-7.798709689417823,5,#882255
