Id,Label,meanabund,logmean,clusterId,color
0,f:Pelagibacteraceae,0.14602200026921802,-1.9239979818504465,1,#332288
1,f:Pseudoalteromonadaceae,0.114712914423749,-2.165322668126966,4,#88CCEE
2,f:Alteromonadaceae,0.0940807716385772,-2.363601592924797,4,#88CCEE
3,f:Flavobacteriaceae,0.0496328661996772,-3.0031020396967723,3,#117733
4,f:Pseudomonadaceae,0.0454949092373315,-3.090154844178627,1,#332288
5,f:Prochloraceae,0.0385789552191449,-3.2550483527643297,1,#332288
6,f:Synechococcaceae,0.04144258048707,-3.1834464125287543,2,#DDCC77
7,f:Rhodobacteraceae,0.0290630133108733,-3.5382889334809198,2,#DDCC77
8,f:Sphingomonadaceae,0.0172035085738461,-4.062641929113701,7,#999933
9,f:Chromatiaceae,0.0153493957088596,-4.176679173224855,5,#882255
10,f:Halomonadaceae,0.0112843709361955,-4.484336613625196,9,#CCEEFF
11,f:Vibrionaceae,0.0111462432701227,-4.496652764294871,4,#88CCEE
12,f:Burkholderiaceae,0.0101790213959437,-4.587426402545021,8,#AA4499
13,f:Un_Marinimicrobia,0.00925786004889261,-4.6822823532627975,20,#000000
14,f:Bradyrhizobiaceae,0.00897709622896867,-4.713078808763126,20,#000000
15,f:Rhodospirillaceae,0.00957085633983629,-4.6490325958239405,6,#44AA99
16,f:Shewanellaceae,0.0075813435414403595,-4.882064846823336,0,#CC6677
17,f:Comamonadaceae,0.0103327956720751,-4.572432396253466,8,#AA4499
18,f:Moraxellaceae,0.008509463660072509,-4.766576363051322,6,#44AA99
19,f:Caulobacteraceae,0.00596249887586195,-5.122265611302379,7,#999933
20,f:Nitrosopumilaceae,0.0087954140827576,-4.733524820291187,7,#999933
21,f:Un_Alphaproteobacteria,0.007825300187304709,-4.850393180696894,1,#332288
22,f:Cyclobacteriaceae,0.00551595829696857,-5.2001098794551925,5,#882255
23,f:Un_SAR,0.007783303548703721,-4.85577441026167,3,#117733
24,f:Erythrobacteraceae,0.00573634419088974,-5.160933172099829,7,#999933
25,f:Enterobacteriaceae,0.0060869252290994,-5.101612213248867,4,#88CCEE
26,f:Hyphomonadaceae,0.0064998683119505,-5.0359733619856994,20,#000000
27,f:Rhizobiaceae,0.00621339558381121,-5.081047739589255,0,#CC6677
28,f:Bacillaceae,0.0061731149041813,-5.087551721750209,1,#332288
29,f:Alcanivoracaceae,0.00443498596779365,-5.4182308271954644,5,#882255
30,f:Cytophagaceae,0.00490069518877456,-5.3183782086687845,5,#882255
31,f:Oceanospirillaceae,0.0052248481886265795,-5.254329536361672,20,#000000
32,f:Pirellulaceae,0.005357275837273429,-5.229299672411463,11,#DDDDDD
33,f:Ectothiorhodospiraceae,0.00456548345654705,-5.389230865494107,8,#AA4499
34,f:Cellvibrionaceae,0.00426819535647993,-5.456564174219036,2,#DDCC77
35,f:Halieaceae,0.0044665650912819,-5.41113560170974,2,#DDCC77
36,f:Clostridiaceae,0.00399470798754149,-5.522784796918162,1,#332288
37,f:Flammeovirgaceae,0.00335876439374942,-5.696182112595473,5,#882255
38,f:Phyllobacteriaceae,0.0035928828457827203,-5.628800377621504,2,#DDCC77
39,f:Colwelliaceae,0.00268232264551563,-5.921072201016758,4,#88CCEE
40,f:Xanthomonadaceae,0.00298888140925064,-5.812856072194893,0,#CC6677
41,f:Mycobacteriaceae,0.00309244176757055,-5.778794284086547,20,#000000
42,f:Piscirickettsiaceae,0.0028454326354338103,-5.862040154271332,11,#DDDDDD
43,f:Methylococcaceae,0.00267718530578463,-5.922989295403443,20,#000000
44,f:Acetobacteraceae,0.00271523685051649,-5.908876091641934,9,#CCEEFF
45,f:Sphingobacteriaceae,0.0023637865645509803,-6.047490469237222,10,#CCDDAA
46,f:Oxalobacteraceae,0.00286182470329895,-5.85629584944456,8,#AA4499
47,f:Aeromonadaceae,0.00217900211326074,-6.128888253189587,0,#CC6677
48,f:Streptomycetaceae,0.00250745372104922,-5.988487494510179,2,#DDCC77
49,f:Paenibacillaceae,0.00248476568607138,-5.997576915198615,6,#44AA99
50,f:Bacteroidaceae,0.00201685756741688,-6.206214638558585,3,#117733
51,f:Chitinophagaceae,0.00204251507958378,-6.193573348352214,1,#332288
52,f:Ilumatobacteraceae,0.0025250798167453198,-5.981482606162213,6,#44AA99
53,f:Hahellaceae,0.00217796400143056,-6.129364782876759,20,#000000
54,f:Methylobacteriaceae,0.00216321338625465,-6.136160483962323,20,#000000
55,f:Methylophilaceae,0.00134248304327626,-6.613234362367719,20,#000000
56,f:Rhodobiaceae,0.00226608603563507,-6.089701149032188,6,#44AA99
57,f:Idiomarinaceae,0.0018070693672722301,-6.316048880022391,0,#CC6677
58,f:Unknown,0.00201803442828595,-6.2056312965986535,2,#DDCC77
59,f:Pasteurellaceae,0.0017873233407647,-6.327036118621578,4,#88CCEE
60,f:Aurantimonadaceae,0.0019097053841291,-6.26080629796829,0,#CC6677
61,f:Alcaligenaceae,0.00179944521218566,-6.320276877040574,20,#000000
62,f:Geobacteraceae,0.00189970548968835,-6.266056410251509,2,#DDCC77
63,f:Hyphomicrobiaceae,0.0019038481650656,-6.263878091031439,1,#332288
64,f:Lachnospiraceae,0.0017837592899222399,-6.329032181101442,9,#CCEEFF
65,f:Planctomycetaceae,0.0018307584331142101,-6.3030249536624305,20,#000000
66,f:Chlorobiaceae,0.00180820941930215,-6.315418194459804,1,#332288
67,f:Yersiniaceae,0.00151629068983633,-6.491488262230092,0,#CC6677
68,f:Peptococcaceae,0.00174089820752145,-6.353354087727652,1,#332288
69,f:Pseudonocardiaceae,0.0017100106432167302,-6.371255684383587,2,#DDCC77
70,f:Kiloniellaceae,0.0016921271927446099,-6.381768847606546,1,#332288
71,f:Lewinellaceae,0.00133523125454296,-6.618650777754785,3,#117733
72,f:Desulfovibrionaceae,0.00159775136585391,-6.439158034573406,2,#DDCC77
73,f:Leptospiraceae,0.00144731007392999,-6.538048566846086,1,#332288
74,f:Campylobacteraceae,0.00144521506667546,-6.539497133423059,1,#332288
