Id,Label,meanabund,logmean,clusterId,color
0,Protein biosynthesis,0.0542370783465466,-2.9143905020930663,3,#117733
1,Ton and tol transporters,0.0388789148560222,-3.247303209861126,2,#DDCC77
2,Resistance to toxic compounds,0.0347162434696224,-3.360547590042844,4,#88CCEE
3,RNA processing and modification,0.0345646344274101,-3.3649242460212787,0,#CC6677
4,DNA repair,0.0334631033003887,-3.3973118411494796,10,#CCDDAA
5,"Lysine, threonine, methionine, and cysteine",0.0328412407953688,-3.416070212061464,4,#88CCEE
6,Central carbohydrate metabolism,0.0326680375445873,-3.4213581242095765,4,#88CCEE
7,Resistance to antibiotics,0.0244768460410258,-3.710027667831755,9,#CCEEFF
8,Fatty acids general,0.0204474319347548,-3.889897982141475,8,#AA4499
9,Branched-chain amino acids,0.019783418961343998,-3.9229111183135914,5,#882255
10,Gram-Negative cell wall components,0.0172528279173597,-4.059779211702765,1,#332288
11,Purines,0.0169940693579028,-4.074890857092016,4,#88CCEE
12,Oxidative stress,0.0170329101652219,-4.07260791427824,5,#882255
13,Protein degradation,0.0172096691732728,-4.062283891879373,5,#882255
14,DNA replication,0.0165852971400305,-4.099238690552448,2,#DDCC77
15,Monosaccharides,0.0163841703132767,-4.111439635081614,11,#DDDDDD
16,Flagellar motility in Prokaryota,0.0147274236636847,-4.218043967831927,7,#999933
17,"Arginine; urea cycle, polyamines",0.0148596260510659,-4.209107404809573,7,#999933
18,Folate and pterines,0.0149046811642762,-4.2060799432733695,8,#AA4499
19,Regulation and cell signaling,0.0147610838500087,-4.215761030933371,2,#DDCC77
20,Electron accepting reactions,0.013964306672314,-4.271250728342431,2,#DDCC77
21,Electron donating reactions,0.0135109527993552,-4.304254604007923,0,#CC6677
22,Di- and oligosaccharides,0.0129561665403629,-4.346183423451649,6,#44AA99
23,Capsular and extracellular polysacchrides,0.0129751576940457,-4.3447186963203634,3,#117733
24,Phosphate metabolism,0.0132277402295341,-4.325439121979963,7,#999933
25,Aromatic amino acids and derivatives,0.011922035097955,-4.429366902223378,4,#88CCEE
26,Transcription,0.0116989857238966,-4.448253131201493,0,#CC6677
27,One-carbon Metabolism,0.009906637468381059,-4.614550295142071,2,#DDCC77
28,Peptidoglycan Biosynthesis,0.00974961895573067,-4.630527076199603,1,#332288
29,TCA Cycle,0.00964232611950318,-4.641592900763883,3,#117733
30,Pyrimidines,0.0090616146561293,-4.703707956690394,3,#117733
31,Biotin,0.00933131134537445,-4.67437972251224,8,#AA4499
32,"Glutamine, glutamate, aspartate, asparagine; ammonia assimilation",0.00898239345445205,-4.712488900505111,3,#117733
33,Thiamin biosynthesis,0.00922741689120898,-4.685576129742893,4,#88CCEE
34,Potassium homeostasis,0.00851134088026967,-4.766355783559875,9,#CCEEFF
35,Heat shock,0.007940156858699709,-4.835822248414488,0,#CC6677
36,"Type III, Type IV, Type VI, ESAT secretion systems",0.00861143528250287,-4.7546642749576264,1,#332288
37,Respiration-Biogenesis,0.007482457096641459,-4.895194052080593,3,#117733
