Id,Label,meanabund,logmean,clusterId,color
0,f:Flavobacteriaceae,0.10707696611476102,-2.2342073936155584,2,#DDCC77
1,f:Sphingomonadaceae,0.10549256882356901,-2.2491147662381556,5,#882255
2,f:Alteromonadaceae,0.0778569658468632,-2.5528819069033184,1,#332288
3,f:Pseudomonadaceae,0.0744812886730914,-2.5972073438927152,1,#332288
4,f:Pseudoalteromonadaceae,0.05099710025758901,-2.9759865055686046,9,#CCEEFF
5,f:Chromatiaceae,0.0571759798364022,-2.861621401722941,1,#332288
6,f:Moraxellaceae,0.0517970892711456,-2.960421322972237,4,#88CCEE
7,f:Erythrobacteraceae,0.0503888587088218,-2.9879851857062416,3,#117733
8,f:Halomonadaceae,0.0422927833791204,-3.163138813179265,5,#882255
9,f:Rhodobacteraceae,0.0272586651566221,-3.6023838210211854,1,#332288
10,f:Cyclobacteriaceae,0.0268555171301994,-3.6172839994258528,7,#999933
11,f:Vibrionaceae,0.0236361301220768,-3.744978800264379,8,#AA4499
12,f:Burkholderiaceae,0.0236616998969756,-3.743897576141432,6,#44AA99
13,f:Caulobacteraceae,0.0214979454088023,-3.8397979107961837,0,#CC6677
14,f:Shewanellaceae,0.0119612304503012,-4.4260846552915165,1,#332288
15,f:Pelagibacteraceae,0.0111761091909904,-4.493976886943636,4,#88CCEE
16,f:Cytophagaceae,0.0104547068015423,-4.560702990345345,7,#999933
17,f:Enterobacteriaceae,0.0098420235431837,-4.621093944427444,5,#882255
18,f:Alcanivoracaceae,0.0082429316669508,-4.798399213513043,20,#000000
19,f:Oceanospirillaceae,0.007853944084155741,-4.8467394422614225,0,#CC6677
20,f:Synechococcaceae,0.006443431354448429,-5.044694061749793,4,#88CCEE
21,f:Piscirickettsiaceae,0.00667049413107023,-5.010061339179361,3,#117733
22,f:Idiomarinaceae,0.0056473903232356105,-5.176561730220502,0,#CC6677
23,f:Comamonadaceae,0.006446505691887871,-5.0442170481714195,7,#999933
24,f:Rhizobiaceae,0.00521702185279307,-5.2558285661844915,0,#CC6677
25,f:Aeromonadaceae,0.00464884993420326,-5.371135415950779,1,#332288
26,f:Bradyrhizobiaceae,0.0048296132127053,-5.332988894709483,3,#117733
27,f:Cellvibrionaceae,0.0046178711123504,-5.377821478281157,1,#332288
28,f:Xanthomonadaceae,0.00451754249092441,-5.399787129692782,8,#AA4499
29,f:Hyphomonadaceae,0.00448399704621112,-5.407240432512155,3,#117733
30,f:Rhodospirillaceae,0.00424192487867364,-5.46273813193713,0,#CC6677
31,f:Flammeovirgaceae,0.00389917004582702,-5.546991557255836,2,#DDCC77
32,f:Bacillaceae,0.0038331814567142703,-5.564060153053516,6,#44AA99
33,f:Ectothiorhodospiraceae,0.0038335887071093704,-5.563953915254083,5,#882255
34,f:Oxalobacteraceae,0.00312862340176318,-5.7671621789172605,7,#999933
35,f:Phyllobacteriaceae,0.00302443847937311,-5.801029831383609,0,#CC6677
36,f:Bacteroidaceae,0.00279021136037263,-5.881637929612274,2,#DDCC77
37,f:Mycobacteriaceae,0.0027920795577867103,-5.880968599578703,0,#CC6677
38,f:Alcaligenaceae,0.0028003152592111,-5.878023275563654,7,#999933
39,f:Colwelliaceae,0.00257242010103795,-5.9629081496157825,1,#332288
40,f:Methylobacteriaceae,0.0024711624637326103,-6.0030666059651425,0,#CC6677
41,f:Yersiniaceae,0.00234121466327921,-6.057085397420055,5,#882255
42,f:Chitinophagaceae,0.00228202089390229,-6.082693871623481,2,#DDCC77
43,f:Sphingobacteriaceae,0.0022432997208359897,-6.0998074073884805,2,#DDCC77
44,f:Hahellaceae,0.00221188009673485,-6.113912402607308,1,#332288
45,f:Methylococcaceae,0.0021919421676529,-6.122967293614443,5,#882255
46,f:Halieaceae,0.00224133728296997,-6.100682589923706,8,#AA4499
47,f:Pectobacteriaceae,0.00170010337549799,-6.377066220652301,5,#882255
48,f:Streptomycetaceae,0.00164853350638085,-6.407869170283948,0,#CC6677
49,f:Morganellaceae,0.0015544823490565099,-6.466612683270034,1,#332288
50,f:Acetobacteraceae,0.00155573934804131,-6.465804381370262,3,#117733
51,f:Pasteurellaceae,0.0015212262172786,-6.488238547455344,5,#882255
52,f:Paenibacillaceae,0.0015136392551466,-6.493238425048816,4,#88CCEE
53,f:Clostridiaceae,0.00147691553703507,-6.517799462555474,3,#117733
54,f:Lewinellaceae,0.00146481790896953,-6.526024338457024,2,#DDCC77
55,f:Un_Eubacterium,0.00145807720972278,-6.530636690883671,2,#DDCC77
56,f:Methylophilaceae,0.00149115131194449,-6.508206764817796,0,#CC6677
57,f:Brucellaceae,0.00142906258568794,-6.550736584150955,0,#CC6677
58,f:Pirellulaceae,0.0014027468570388401,-6.569322923906838,2,#DDCC77
59,f:Aurantimonadaceae,0.0013858825101871301,-6.581418150792274,1,#332288
60,f:Microbacteriaceae,0.00136198447718593,-6.598812468393237,5,#882255
61,f:Saccharospirillaceae,0.00142488569286775,-6.553663684010364,1,#332288
62,f:Geobacteraceae,0.00130641849753398,-6.640465857242628,2,#DDCC77
63,f:Chromobacteriaceae,0.00119967644956259,-6.725703383908145,4,#88CCEE
64,f:Zoogloeaceae,0.00119334176813614,-6.73099769899211,4,#88CCEE
65,f:Nocardiaceae,0.0010419068361645699,-6.866702748319393,0,#CC6677
66,f:Prochloraceae,0.000995351753016356,-6.912414362659919,4,#88CCEE
67,f:Hyphomicrobiaceae,0.00102925006415787,-6.878924834979679,7,#999933
68,f:Erwiniaceae,0.000994924762059914,-6.912843439684903,1,#332288
69,f:Pseudonocardiaceae,0.000985933683331299,-6.921921463908265,0,#CC6677
70,f:Xanthobacteraceae,0.000987079829912898,-6.920759640430797,3,#117733
71,f:Planctomycetaceae,0.0009477725637888509,-6.961395996107783,8,#AA4499
72,f:Unknown,0.0009576325853802801,-6.951046376124561,8,#AA4499
73,f:Nitrosomonadaceae,0.0009515564219257881,-6.957411575113509,4,#88CCEE
74,f:Hymenobacteraceae,0.000899431611059143,-7.013747537415035,2,#DDCC77
75,f:Tannerellaceae,0.000869311551436753,-7.047808979762374,2,#DDCC77
76,f:Microbulbiferaceae,0.000872621940423868,-7.044008153855053,1,#332288
77,f:Rhodobiaceae,0.0009084546456847689,-7.003765593570384,3,#117733
78,f:Un_Alphaproteobacteria,0.0008972570940542051,-7.0161681215267935,4,#88CCEE
79,f:Archangiaceae,0.0008637609129149611,-7.054214548617824,8,#AA4499
80,f:Psychromonadaceae,0.000843774692693094,-7.077625050791721,1,#332288
81,f:Un_SAR,0.000953635133191464,-6.9552294196394735,4,#88CCEE
82,f:Desulfovibrionaceae,0.000822257004281863,-7.103457554497989,6,#44AA99
83,f:Nostocaceae,0.0007963075492078111,-7.135525078389401,4,#88CCEE
84,f:Burkholderiales,0.000824147777268467,-7.101160702789312,6,#44AA99
85,f:Rhodothermaceae,0.000788971704702341,-7.14478009998917,2,#DDCC77
86,f:Rhodocyclaceae,0.000790821370837021,-7.142438442706937,4,#88CCEE
87,f:Neisseriaceae,0.000772267888468641,-7.166179062343687,5,#882255
88,f:Chlorobiaceae,0.000750578975152319,-7.194665682377325,2,#DDCC77
89,f:Solibacteraceae,0.000763304605426196,-7.177853385605149,1,#332288
90,f:Oscillatoriaceae,0.000744775429364543,-7.202427822120581,6,#44AA99
91,f:Rhodanobacteraceae,0.0007651188134301139,-7.175479424523996,8,#AA4499
92,f:Prevotellaceae,0.000732098705877707,-7.219595208998382,2,#DDCC77
93,f:Kordiimonadaceae,0.00072884786233482,-7.224045541377387,3,#117733
94,f:Microcoleaceae,0.0006891855231293691,-7.280000058857045,6,#44AA99
95,f:Lachnospiraceae,0.0006789338132546871,-7.294986911953971,2,#DDCC77
96,f:Desulfuromonadaceae,0.0006971989749291731,-7.268439714587457,6,#44AA99
97,f:Spongiibacteraceae,0.00066539787317263,-7.315125390699058,8,#AA4499
98,f:Moritellaceae,0.000647613492469664,-7.342216501804539,1,#332288
99,f:Sterolibacteriaceae,0.00065752001267177,-7.327035356851962,1,#332288
100,f:Enterococcaceae,0.000632708544040076,-7.365500677808928,8,#AA4499
101,f:Kangiellaceae,0.000644019538388333,-7.347781493207823,1,#332288
102,f:Aphanothecaceae,0.000582396535682518,-7.448359009446814,6,#44AA99
103,f:Thiobacillaceae,0.0005845797621764831,-7.44461732412706,6,#44AA99
104,f:Leptospiraceae,0.000584326246653757,-7.445051089587731,2,#DDCC77
105,f:Peptococcaceae,0.000569327997529822,-7.471053844348005,5,#882255
106,f:Desulfobacteraceae,0.000553368867842837,-7.499485748350668,3,#117733
107,f:Streptococcaceae,0.000531049289730529,-7.5406557166789705,2,#DDCC77
108,f:Legionellaceae,0.000559472491042551,-7.488516198458475,0,#CC6677
109,f:Campylobacteraceae,0.000512480328739386,-7.576248230635895,0,#CC6677
110,f:Myxococcaceae,0.0005248382871258981,-7.552420367344046,5,#882255
111,f:Frankiaceae,0.00052652915371007,-7.549203855254555,0,#CC6677
112,f:Un_Marinimicrobia,0.000515397914785846,-7.570571305571334,20,#000000
113,f:Microscillaceae,0.000487649156191268,-7.625914352905037,2,#DDCC77
114,f:Thermoanaerobacteraceae,0.000497133462089208,-7.60665203252606,9,#CCEEFF
115,f:Balneolaceae,0.000492297742113716,-7.616426857613813,2,#DDCC77
116,f:Anaeromyxobacteraceae,0.000489006086605023,-7.623135621521829,0,#CC6677
117,f:Micrococcaceae,0.0004955640909237059,-7.609813866597637,0,#CC6677
118,F:Un_Actinobacterium,0.000504585575489712,-7.591773108195014,6,#44AA99
119,f:Dysgonamonadaceae,0.00046401560343636795,-7.67559237820781,9,#CCEEFF
120,f:Methylocystaceae,0.000466902625920121,-7.66938983184359,3,#117733
121,f:Hafniaceae,0.00045814361635420194,-7.688327850178004,5,#882255
122,f:Staphylococcaceae,0.000438291983390439,-7.732625240940776,9,#CCEEFF
123,f:Lactobacillaceae,0.00043506117571926,-7.740023902926222,4,#88CCEE
124,f:Gallionellaceae,0.000441851506344841,-7.724536690829109,3,#117733
125,f:Acidobacteriaceae,0.000439092005547627,-7.730801587012747,4,#88CCEE
126,f:Thermaceae,0.000435221910431226,-7.739654518029855,0,#CC6677
127,f:Gordoniaceae,0.000441812103033458,-7.7246258725290025,0,#CC6677
128,f:Deinococcaceae,0.000426005639247669,-7.761057974111936,9,#CCEEFF
129,f:Micromonosporaceae,0.000441245122289614,-7.725910004079025,0,#CC6677
130,f:Sinobacteraceae,0.000431808719568508,-7.7475278465522335,6,#44AA99
131,f:Beijerinckiaceae,0.000430364294502771,-7.750878511427003,3,#117733
132,f:Parvularculaceae,0.000427289652012743,-7.75804843275534,3,#117733
133,f:Desulfobulbaceae,0.000375892775005349,-7.886206628102006,5,#882255
134,f:Azonexaceae,0.00037908490853250803,-7.877750344906205,7,#999933
135,f:Polyangiaceae,0.00036663858963946,-7.911133964488402,5,#882255
136,f:Corynebacteriaceae,0.000366736854956541,-7.9108659835561435,3,#117733
137,f:Marinilabiliaceae,0.000353819925158104,-7.94672246024917,7,#999933
138,f:Endozoicomonadaceae,0.000352108221697256,-7.951571981615062,1,#332288
139,f:Helicobacteraceae,0.000339559375200593,-7.987861736122725,0,#CC6677
140,f:Kiloniellaceae,0.00033863251262138,-7.990595072138432,7,#999933
